dato,runde,hjemmehold,udehold,hjemmemaal,udemaal,tilskuere,stadion
2025-05-01,17,Rosenborg,Kristiansund,1,1,14122,Lerkendal stadion
2025-05-02,5,HamKam,KFUM,0,0,2828,Briskeby
2025-05-03,5,Vålerenga,Brann,2,4,16556,Intility Arena
2025-05-04,5,Molde,Haugesund,2,1,5286,Aker stadion
2025-05-04,5,Strømsgodset,Kristiansund,1,2,4308,Marienlyst stadion
2025-05-04,5,Tromsø,Sandefjord Fotball,0,1,4060,Romssa Arena
2025-05-04,5,Viking,Sarpsborg 08,0,0,10572,Lyse Arena
2025-05-04,5,Rosenborg,Bryne,3,0,,Lerkendal stadion
2025-05-11,6,Brann,Rosenborg,0,0,17500,Brann stadion
2025-05-11,6,Bryne,Molde,0,3,2893,Bryne stadion
2025-05-11,6,KFUM,Tromsø,1,3,2157,KFUM-Arena
2025-05-11,6,Kristiansund,Fredrikstad,0,1,3007,Nordmøre stadion
2025-05-11,6,Sandefjord Fotball,Vålerenga,2,1,6011,Jotun Arena
2025-05-11,6,Sarpsborg 08,HamKam,4,0,4503,Sarpsborg st KG
2025-05-11,6,Haugesund,Viking,1,4,5716,Haugesund Sparebank Arena
2025-05-16,7,Brann,Sarpsborg 08,2,2,17500,Brann stadion
2025-05-16,7,Fredrikstad,KFUM,1,0,11578,Fredrikstad stadion
2025-05-16,7,Molde,Kristiansund,0,1,9293,Aker stadion
2025-05-16,7,Rosenborg,Haugesund,1,0,21243,Lerkendal stadion
2025-05-16,7,Strømsgodset,Bryne,0,2,5116,Marienlyst stadion
2025-05-16,7,Tromsø,Bodø/Glimt,2,1,6691,Romssa Arena
2025-05-16,7,Viking,Sandefjord Fotball,3,1,15900,Lyse Arena
2025-05-16,7,Vålerenga,HamKam,1,1,13300,Intility Arena
2025-05-24,8,Bryne,Fredrikstad,4,3,2329,Bryne stadion
2025-05-24,8,Bodø/Glimt,Rosenborg,4,0,8107,Aspmyra stadion
2025-05-25,8,HamKam,Molde,2,1,3088,Briskeby
2025-05-25,8,Kristiansund,Viking,0,1,3480,Nordmøre stadion
2025-05-25,8,Sandefjord Fotball,Strømsgodset,3,2,3478,Jotun Arena
2025-05-25,8,Sarpsborg 08,Tromsø,0,1,4330,Sarpsborg st KG
2025-05-25,8,Haugesund,Brann,0,2,5404,Haugesund Sparebank Arena
2025-05-26,8,KFUM,Vålerenga,0,1,3501,KFUM-Arena
2025-05-28,18,Fredrikstad,Rosenborg,0,2,9528,Fredrikstad stadion
2025-05-28,19,Bodø/Glimt,Viking,2,4,6869,Aspmyra stadion
2025-05-29,15,Brann,Molde,0,3,17002,Brann stadion
2025-05-31,9,Strømsgodset,HamKam,0,3,4360,Marienlyst stadion
2025-05-31,9,Tromsø,Vålerenga,2,1,5291,Romssa Arena
2025-06-01,9,Fredrikstad,Sarpsborg 08,1,1,12565,Fredrikstad stadion
2025-06-01,9,Brann,Kristiansund,4,2,14957,Brann stadion
2025-06-01,9,Bryne,Sandefjord Fotball,3,2,2440,Bryne stadion
2025-06-01,9,Haugesund,Bodø/Glimt,0,4,4335,Haugesund Sparebank Arena
2025-06-01,9,Rosenborg,KFUM,1,1,12311,Lerkendal stadion
2025-06-01,9,Molde,Viking,0,1,5429,Aker stadion
2025-06-21,10,Bodø/Glimt,Brann,3,0,7325,Aspmyra stadion
2025-06-22,10,Vålerenga,Molde,2,3,13592,Intility Arena
2025-06-22,10,HamKam,Tromsø,1,3,3555,Briskeby
2025-06-22,10,KFUM,Strømsgodset,5,0,1927,KFUM-Arena
2025-06-22,10,Kristiansund,Rosenborg,4,1,4364,Nordmøre stadion
2025-06-22,10,Sandefjord Fotball,Haugesund,4,0,3803,Jotun Arena
2025-06-22,10,Sarpsborg 08,Bryne,1,1,4483,Sarpsborg st KG
2025-06-22,10,Viking,Fredrikstad,3,0,13566,Lyse Arena
